first_name,second_name,id,element_type,team_code,now_cost
Asmir,Begovic,29,1,91,4.5
Mathew,Ryan,54,1,36,4.6
Lewis,Dunk,55,2,36,4.5
Jack,Cork,90,3,90,4.5
Jordan,Pickford,135,1,11,4.9
Jonas,Lössl,163,1,38,4.6
Mathias,Jorgensen,171,2,38,4.5
Harry,Maguire,198,2,13,5.5
Lukasz,Fabianski,350,1,80,4.7
Alfie,Mawson,357,2,80,5.1
Ahmed El-Sayed,Hegazi,468,2,35,4.6
Nathan,Aké,38,2,91,5
César,Azpilicueta,97,2,8,6.9
David,De Gea,260,1,1,5.9
Ben,Foster,421,1,35,4.3
Abdoulaye,Doucouré,414,3,57,5.2
Shane,Duffy,56,2,36,4.6
Pablo,Zabaleta,447,2,21,4.9
Christopher,Schindler,164,2,38,4.6
Granit,Xhaka,23,3,3,5.1
Jamie,Vardy,209,4,13,8.8
Dale,Stephens,63,3,36,4.5
Hugo,Lloris,375,1,6,5.5
Christian,Eriksen,387,3,6,9.7
Jan,Vertonghen,380,2,6,6.1
Ederson,Santana de Moraes,240,1,43,5.7
Thibaut,Courtois,94,1,8,5.3
Jack,Butland,328,1,110,5
Martin,Olsson,358,2,80,5
Joe,Allen,337,3,110,5.1
Ryan,Bertrand,307,2,20,5.3
Andros,Townsend,131,3,31,5.6
Davy,Pröpper,490,3,36,5.3
Nemanja,Matic,107,3,1,4.7
Nick,Pope,469,1,90,5
Luka,Milivojevic,132,3,31,5.2
Harry,Kane,394,4,6,13.1
Kevin,De Bruyne,252,3,43,10.3
Aaron,Cresswell,443,2,21,4.9
Aaron,Mooy,172,3,38,5.2
Héctor,Bellerín,7,2,3,5.9
Petr,Cech,2,1,3,5.3
Xherdan,Shaqiri,342,3,110,6.1
Kyle,Naughton,352,2,80,4.6
Charlie,Daniels,34,2,91,4.7
N'Golo,Kanté,111,3,8,4.9
Nicolás,Otamendi,245,2,43,6.4
Kasper,Schmeichel,189,1,13,5.1
Bamidele,Alli,388,3,6,9
Riyad,Mahrez,199,3,13,8.7
Pascal,Groß,70,3,36,5.9
Jamaal,Lascelles,290,2,4,4.9
Mohamed,Salah,234,3,14,10.6
Oriol,Romeu Vidal,320,3,20,4.2
Wilfred,Ndidi,206,3,13,4.9
Kurt,Zouma,99,2,110,5.4
Fernando,Luiz Rosa,250,3,43,5
Angelo,Ogbonna,444,2,21,4.2
Romelu,Lukaku,285,4,1,11.5
Marcos,Alonso,100,2,8,7.1
Jordan,Ayew,373,4,80,5.4
DeAndre,Yedlin,288,2,4,4.5
Johann Berg,Gudmundsson,84,3,90,5
Kieran,Gibbs,8,2,35,5
Eric,Dier,384,3,6,4.7
Wes,Morgan,191,2,13,4.4
Richarlison,de Andrade,501,3,57,5.8
Jay,Rodriguez,437,4,35,5.4
Matt,Ritchie,295,3,4,5.4
Cheikhou,Kouyaté,451,3,21,5
Cédric,Soares,310,2,20,4.7
Dusan,Tadic,318,3,20,6.2
James,Tarkowski,79,2,90,4.6
Kyle,Walker,379,2,43,6.6
Salomón,Rondón,435,4,35,6
Steve,Cook,33,2,91,4.6
Roberto,Firmino,235,4,14,9.5
Idrissa,Gueye,155,3,11,4.8
Antonio,Valencia,267,2,1,6.9
Erik,Pieters,332,2,110,4.7
Simon,Francis,32,2,91,4.3
Federico,Fernández,354,2,80,4.5
Jake,Livermore,426,3,35,4.8
Ben,Mee,77,2,90,4.9
Mame Biram,Diouf,348,4,110,5.2
Raheem,Sterling,247,3,43,9.1
Tom,Carroll,367,3,80,4.3
Michael,Keane,146,2,11,5.3
Wilfried,Zaha,126,3,31,7.1
